Gene_id	T14A	T0A	T0B	T14B
MSTRG.10346	0	0	0	0
MSTRG.10347	0	0	0	0
MSTRG.10348	0	0	0	0
MSTRG.10349	0	0	0	0
MSTRG.1035	0	0	0	0
MSTRG.10350	0	0	0	0
MSTRG.10351	0	0	0	0
MSTRG.10352	0	0	0	0
MSTRG.10353	0	0	0	0
MSTRG.10354	0	0	0	0
MSTRG.10355	0	0	0	0
MSTRG.10356	0	0	0	0
MSTRG.10357	0	0	0	0
MSTRG.10358	0	0	0	0
MSTRG.10359	0	0	0	0
MSTRG.1036	0	0	0	0
MSTRG.10360	0	0	0	0
MSTRG.10361	0	0	0	0
MSTRG.10362	0	0	0	0
MSTRG.10363	0	0	0	0
MSTRG.10364	0	0	0	0
MSTRG.10365	0	0	0	0
MSTRG.10366	0	0	0	0
MSTRG.10367	0	0	0	0
MSTRG.10368	0	0	0	0
MSTRG.10369	0	0	0	0
MSTRG.1037	0	0	0	0
MSTRG.10370	0	0	0	0
MSTRG.10371	0	0	0	0
MSTRG.10372	0	0	0	0
MSTRG.10373	0	0	0	0
MSTRG.10374	0	0	0	0
MSTRG.10375	0	0	0	0
MSTRG.10376	0	0	0	0
MSTRG.10377	0	0	0	0
MSTRG.10378	0	0	0	0
MSTRG.10379	0	0	0	0
MSTRG.1038	0	0	0	0
MSTRG.10380	0	0	0	0
MSTRG.10381	0	0	0	0
MSTRG.10382	0	0	0	0
MSTRG.10383	0	0	0	0
MSTRG.10384	0	0	0	0
MSTRG.10385	0	0	0	0
MSTRG.10386	0	0	0	0
MSTRG.10387	0	0	0	0
MSTRG.10388	0	0	0	0
MSTRG.10389	0	0	0	0
MSTRG.1039	0	0	0	0
MSTRG.10390	0	0	0	0
MSTRG.10391	0	0	0	0
MSTRG.10392	0	0	0	0
MSTRG.10393	0	0	0	0
MSTRG.10394	0	0	0	0
MSTRG.10395	0	0	0	0
MSTRG.10396	0	0	0	0
MSTRG.10397	0	0	0	0
MSTRG.10398	0	0	0	0
MSTRG.10399	0	0	0	0
MSTRG.104	0	0	0	0
MSTRG.1040	0	0	0	0
MSTRG.10400	0	0	0	0
MSTRG.10401	0	0	0	0
MSTRG.10402	0	0	0	0
MSTRG.10403	0	0	0	0
MSTRG.10404	0	0	0	0
MSTRG.10405	0	0	0	0
MSTRG.10406	0	0	0	0
MSTRG.10407	0	0	0	0
MSTRG.10408	0	0	0	0
MSTRG.10409	0	0	0	0
MSTRG.1041	0	0	0	0
MSTRG.10410	0	0	0	0
MSTRG.10411	0	0	0	0
MSTRG.10412	0	0	0	0
MSTRG.10413	0	0	0	0
MSTRG.10414	0	0	0	0
MSTRG.10415	0	0	0	0
MSTRG.10416	0	0	0	0
MSTRG.10417	0	0	0	0
MSTRG.10418	0	0	0	0
MSTRG.10419	0	0	0	0
MSTRG.1042	0	0	0	0
MSTRG.10420	0	0	0	0
MSTRG.10421	0	0	0	0
MSTRG.10422	0	0	0	0
MSTRG.10423	0	0	0	0
MSTRG.10424	0	0	0	0
MSTRG.10425	0	0	0	0
MSTRG.10426	0	0	0	0
MSTRG.10427	0	0	0	0
MSTRG.10428	0	0	0	0
MSTRG.10429	0	0	0	0
MSTRG.1043	0	0	0	0
MSTRG.10430	0	0	0	0
MSTRG.10431	0	0	0	0
MSTRG.10432	0	0	0	0
MSTRG.10433	0	0	0	0
MSTRG.10434	0	0	0	0
MSTRG.10435	0	0	0	0
MSTRG.10436	0	0	0	0
MSTRG.10437	0	0	0	0
MSTRG.10438	0	0	0	0
MSTRG.10439	0	0	0	0
MSTRG.1044	0	0	0	0
MSTRG.10440	0	0	0	0
MSTRG.10441	0	0	0	0
MSTRG.10442	0	0	0	0
MSTRG.10443	0	0	0	0
MSTRG.10444	0	0	0	0
MSTRG.10445	0	0	0	0
MSTRG.10446	0	0	0	0
MSTRG.10447	0	0	0	0
MSTRG.10448	0	0	0	0
MSTRG.10449	0	0	0	0
MSTRG.1045	0	0	0	0
MSTRG.10450	0	0	0	0
MSTRG.10451	0	0	0	0
MSTRG.10452	0	0	0	0
MSTRG.10453	0	0	0	0
MSTRG.10454	0	0	0	0
MSTRG.10455	0	0	0	0
MSTRG.10456	0	0	0	0
MSTRG.10457	0	0	0	0
MSTRG.10458	0	0	0	0
MSTRG.10459	0	0	0	0
MSTRG.1046	0	0	0	0
MSTRG.10460	0	0	0	0
MSTRG.10461	0	0	0	0
MSTRG.10462	0	0	0	0
MSTRG.10463	0	0	0	0
MSTRG.10464	0	0	0	0
MSTRG.10465	0	0	0	0
